Etape,Champ (label),formControlName,Condition d'affichage (*ngIf),Condition disabled / grisé,Type (Manuel / Calculé / Lecture seule),Formule / Règle de calcul,Remarques
1,Type de prêt (readonly),"(pas de FC, [value] direct)",Toujours visible,Toujours disabled (wrapper 'disabled'),Lecture seule,dossierStore.get().product?.designation,
1,Objet du prêt,loanObject,Toujours visible,Non disabled,Manuel (select),-,"Required. Déclenche onChangeLoanObject() qui met à jour validators de claimedAmountOfPurchase, buildDevelopmentQuotation, claimedAmountOfBuildDevelopment, repurchaseType"
1,Type de rachat,repurchaseType,loanObject?.code?.includes('RCH'),"disabled si isRepurchaseTypeForcedToINT (code IN ['AQS_RCH_CSO','AQS_RCH_CSO_AMN','AQS_RCH_CSO_CST'])","Manuel (select), forcé à 'INT' si code ci-dessus",Si forcé: setValue('INT') + disable(),Required si loanObject.code contient 'RCH'
1,Type de bien,propertyType,Toujours visible,Non disabled,Manuel (select),-,Required
1,Numéro crédit racheté,repurchasedCreditNumber,loanObject?.code?.includes('AQS_RCH'),Non disabled,Manuel (texte),-,"Required si visible (repurchasedCreditNumberRequired). Doit correspondre à une dette existante (establishmentCode='022', codeProductFamily='PPO-PPC') sinon erreur repurchasedCreditNotFound. Reset avec confirmation si changement de loanObject depuis un code AQS_RCH"
1,Mécanisme,mechanisms,isImtilak || isImtilakPPR || isAdlSakane || isAdlSakanePPR,disabled forcé à 'MCN2' si isSalafBaytiSante || isSalafBaytiSantePPR (control ajouté seulement si Imtilak/AdlSakane),"Manuel (select, multiple si AdlSakane/AdlSakanePPR)",-,Required. Reset les autres champs liés aux mécanismes non sélectionnés (onChangeMechanisms)
2,Prix d'acquisition,acquisitionPrice,Toujours visible,Non disabled,Manuel,-,"Required. Validator sumGreaterThanEqualTo(acquisitionFee + claimedAmountOfPurchase) ou sumPercentLessThanEqualTo selon produit (VeFa 90%, Moulkia 80%, PPI/ClipriMRE 8%)"
2,Frais d'acquisition,acquisitionFee,!isFogarim && !isFogaloge && !isVeFa && (isPPIProduct || (isPpiMRE && isClipriMRE)),Non disabled,Manuel,-,Control ajouté dynamiquement (applyNotaryValidators) si PPI/ClipriMRE
2,Quotation construction,buildDevelopmentQuotation,loanObject.code inclut 'CST' ou 'AMN',Non disabled,Manuel,-,Required si loanObject CST/AMN (onChangeLoanObject)
2,Montant réclamé achat (frais notaire inclus),requestedNotaryFee,!isFogarim && !isFogaloge && !isVeFa && (isPPIProduct || (isPpiMRE && isClipriMRE)),Non disabled,Manuel,-,Required + lessThanEqualTo(acquisitionFee). Control ajouté via applyNotaryValidators()
2,Montant crédit subventionné,subsidizedCreditAmount,isMechanism1(),Non disabled,Manuel,-,lessThanEqualTo(300000). Reset si mécanisme 1 désélectionné
2,Montant crédit bonifié,bonusCreditAmount,isMechanism2(),Non disabled,Manuel,-,lessThanEqualTo(200000 Imtilak / 300000 SalafBaytiSante). Reset si mécanisme 2 désélectionné
2,Montant crédit soutenu,suportedCreditAmount,isMechanism3(),Non disabled,Manuel,-,Reset si mécanisme 3 désélectionné
2,Montant prêt Type A,typeAloanAmount,isTypeA(),Non disabled,Manuel,-,lessThanEqualTo(150000). Reset si Type A désélectionné
2,Montant prêt Type B,typeBloanAmount,isTypeB(),Non disabled,Manuel,-,lessThanEqualTo(250000). Reset si Type B désélectionné
2,Crédit additionnel,additionalCredit,isMechanismSelected() && !isMechanism3(),Non disabled,Manuel,-,Reset à chaque changement de mécanisme
2,Montant réclamé achat (hors frais notaire),claimedAmountOfPurchase,loanObject.code inclut 'AQS' ou 'RCH' ou 'REGR_CRED' ou 'REF_ACH_BI',Non disabled,Manuel,-,"required + lessThanEqualTo(acquisitionPrice) si visible, sinon removeValidators+reset. Validators additionnels dynamiques: perLessThanEqualToSumOfAmounts() si mécanisme sélectionné"
2,Montant réclamé construction,claimedAmountOfBuildDevelopment,loanObject.code inclut 'CST' ou 'AMN',Non disabled,Manuel,-,required + lessThanEqualTo(buildDevelopmentQuotation) si visible. Validator additionnel equalToMechanismSum() si loanObject CST/AMN et mécanisme sélectionné
2,(Sous-composant) Échéancier paiement VeFa,app-payment-installment-form,isVeFa,-,Composant séparé,-,Non détaillé ici (composant externe)
3,Montant d'investissement,investmentAmount,Toujours visible,Toujours disabled (readonly),Calculé,= acquisitionPrice + buildDevelopmentQuotation [+ acquisitionFee si isPPIProduct || (isPpiMRE && isClipriMRE)],Recalculé en continu via calculateInvestmentAmount()
3,Montant du prêt,loanAmount,Toujours visible,Disabled par défaut (control créé disabled:true),Calculé,= claimedAmountOfBuildDevelopment + claimedAmountOfPurchase [+ requestedNotaryFee si isPPIProduct || (isPpiMRE && isClipriMRE)],calculateLoanAmount(). Déclenche aussi applicationFee = loanAmount*0.001 et topVipService. Classe 'vip' si >=1500000 (hors Patrimonial) ou isHautDeGamme
4,Périodicité,periodicity,Toujours visible,HTML ngClass: isFogaloge||isFogarim||isImtilak||isSalafBaytiSante. TS (ngOnInit) force disable pour: isFogaloge||isFogarim||isImtilak||isImtilakPPR||isAdlSakane||isAdlSakanePPR||isSalafBaytiSante||isSalafBaytiSantePPR (valeur forcée 'MONTHLY'),"Manuel (select), forcé 'MONTHLY' si disabled",-,Incohérence HTML/TS: le ngClass visuel ne couvre pas isImtilakPPR/isAdlSakane/isAdlSakanePPR alors que le disable réel (setFormControlValueAndDisable) les couvre
4,Nombre d'échéances,deadlineNumber,!isImtilak && !isImtilakPPR && !isSalafBaytiSante && !isSalafBaytiSantePPR && !isAdlSakane && !isAdlSakanePPR,Non disabled,Manuel,-,"Required. Validators: sumLessThanEqualTo(delayDuration,300) si pas de mécanisme sélectionné, lessThanEqualToWithCases selon périodicité si terrain (isItABuildingLotAcquisition)"
4,Durée prêt Type A,typeAloanDuration,isTypeA() (dans bloc AdlSakane/Imtilak/SalafBaytiSante),Non disabled,"Manuel (valeur par défaut 120 si vide, via handleAdlSakaneMechanisms)",-,"lessThanEqualTo(120) + sumLessThanEqualTo(delayDuration,300)"
4,Durée prêt Type B,typeBloanDuration,isTypeB(),Non disabled,Manuel (valeur par défaut 240 si vide),-,"lessThanEqualToWithCases selon périodicité + sumLessThanEqualTo(delayDuration,300) + lessThanEqualTo(240)"
4,Durée crédit subventionné,subsidizedCreditDuration,isMechanism1(),Non disabled,Manuel,-,"sumLessThanEqualTo(delayDuration,300) + lessThanEqualToWithCases selon périodicité. Déclenche recalcul de subsidizedCreditRate (Imtilak uniquement, via initDurationListeners)"
4,Durée crédit bonifié,bonusCreditDuration,isMechanism2(),Non disabled,Manuel,-,"sumLessThanEqualTo(delayDuration,300) + lessThanEqualToWithCases + lessThanEqualTo(180 Imtilak/240 SalafBaytiSante). Déclenche recalcul de bonusCreditRate (SalafBaytiSante: seuils fixes; voir onglet Taux)"
4,Durée crédit soutenu,suportedCreditDuration,isMechanism3(),Non disabled,Manuel,-,"sumLessThanEqualTo(delayDuration,300) + lessThanEqualToWithCases. Déclenche recalcul suportedCreditRate (Imtilak uniquement)"
4,Durée crédit additionnel,additionalLoanDuration,isMechanismSelected() && !isMechanism3(),Non disabled,Manuel,-,"Required si mécanisme1 ou 2. lessThanEqualTo(300) + sumLessThanEqualTo(delayDuration,300) + lessThanEqualToWithCases. Déclenche recalcul additionalCreditRate (Imtilak et SalafBaytiSante)"
4,Date première échéance,firstDueDate,Toujours visible,Non disabled,Manuel (datepicker filtré),-,Required. firstDueDateFilter: jours autorisés 1-5 ou 25-fin de mois
4,Différé (checkbox),delayed,Toujours visible,Non disabled,Manuel (checkbox),-,"Si true: delayType et delayDuration deviennent required, sinon reset"
4,Type de différé,delayType,delayed === true,Non disabled,Manuel (select),-,Required si delayed=true. Message d'avertissement si code='CAPITAL_INTERETS'
4,Durée du différé,delayDuration,delayed === true,Non disabled,Manuel,-,Required si delayed=true. Avertissement si >3
5,Type de taux,rateType,Toujours visible,disabled si isFogaloge || isFogarim (forcé à 'FIXE' ; idem si isImtilak/isImtilakPPR/isAdlSakane/isAdlSakanePPR/isSalafBaytiSante/isSalafBaytiSantePPR),Manuel (select),-,"Required. Si code==='CAPE': cappedRate devient required + greaterThanEqualTo(rate), sinon reset"
5,Nature du taux,rateNature,Toujours visible,disabled si isFogaloge||isFogarim (forcé 'CNV') ou si isImtilak/isImtilakPPR/isAdlSakane/isAdlSakanePPR/isSalafBaytiSante/isSalafBaytiSantePPR (forcé 'CNV' via initMechanismsControls),Manuel (select),-,Required
5,Taux,rate,!isImtilak && !isImtilakPPR && !isAdlSakane && !isAdlSakanePPR && !isSalafBaytiSante && !isSalafBaytiSantePPR,Non disabled,Manuel,-,"Required (ajouté seulement si produit 'non conventionné', cf isNotConventionedProduct). lessThanEqualTo dynamique (applicationFee dépend indirectement)"
5,Taux crédit subventionné,subsidizedCreditRate,isImtilak||isImtilakPPR||isSalafBaytiSante||isSalafBaytiSantePPR et isMechanism1(),Non disabled,Calculé,Imtilak/ImtilakPPR: selon durée subsidizedCreditDuration/12 → <=7ans:2.20% / <=15ans:2.50% / <=25ans:2.75% (getDefaultRate 'subventionné'). Sélection du mécanisme (SalafBaytiSante/Imtilak init): valeur fixe 2.20 posée à la sélection,Recalcul continu (Imtilak) via initDurationListeners ; valeur initiale posée dans handleImtilakMechanisms
5,Taux crédit bonifié,bonusCreditRate,... et isMechanism2(),Non disabled,Calculé,Imtilak: valeur fixe 0 posée à la sélection du mécanisme (handleImtilakMechanisms). SalafBaytiSante: selon bonusCreditDuration → <84 mois:1.70% / 84-179:2.00% / 180-240:2.25% (onInitSalafBaytiSanteValues),Pas de formule Imtilak liée à la durée (contrairement au subventionné/soutenu/additionnel)
5,Taux crédit soutenu,suportedCreditRate,... et isMechanism3(),Non disabled,Calculé,Imtilak: selon suportedCreditDuration/12 → <=7ans:4.20% / <=15ans:4.50% / <=25ans:4.75% (getDefaultRate 'soutenu'). Valeur fixe 4.20 posée à la sélection initiale du mécanisme,Recalcul continu (Imtilak uniquement) via initDurationListeners
5,Taux plafonné (Cape),cappedRate,rateType?.code === rateTypesEnum[2] (CAPE),Non disabled,Manuel,-,"Required + greaterThanEqualTo(rate) si rateType=CAPE, sinon reset"
5,Taux prêt Type A,typeAloanRate,isTypeA(),Non disabled,Manuel,-,Pas de validators additionnels visibles
5,Taux prêt Type B,typeBloanRate,isTypeB(),Non disabled,Manuel,-,Pas de validators additionnels visibles
5,Taux crédit additionnel,additionalCreditRate,isMechanismSelected() && !isMechanism3(),Non disabled,Calculé,Imtilak: selon additionalLoanDuration/12 → <=7ans:4.20% / <=15ans:4.50% / <=25ans:4.75% (getDefaultRate 'complémentaire'). SalafBaytiSante: selon additionalLoanDuration (mois) → <84:4.20% / 84-179:4.50% / 180-240:4.75% (onInitSalafBaytiSanteValues),Reset à chaque changement de mécanisme (resetMechanismFormControls)
6,Frais de dossier,applicationFee,Toujours visible,Non disabled (mais valeur écrasée automatiquement),Calculé (mais champ éditable),"= ROUND(loanAmount * 0.001, 2)",Recalculé automatiquement dans calculateLoanAmount(). Validator lessThanEqualTo(loanAmount * 0.001)
6,Frais 'freehand',freeHandFee,Toujours visible,Non disabled,Manuel,-,"Required, valeur par défaut 800"
7,Prêt immobilier externe,externalRealStateLoan,Toujours visible,Non disabled,Manuel,-,Required
7,Prêt consommation externe,externalConsomptionLoan,Toujours visible,Non disabled,Manuel,-,Required
8,Apport,apport,Toujours visible,Toujours disabled (readonly),Calculé,"= MAX(investmentAmount - loanAmount, 0)",calculateApport()
8,% Apport,percentOfApport,Toujours visible,Toujours disabled (readonly),Calculé,"= (apport * 100) / investmentAmount  (si investmentAmount>0, sinon 0)","calculatePercentOfApport(), arrondi à 2 décimales"
8,Taux d'endettement,debtRatio,Toujours visible,Toujours disabled (readonly),Lecture seule / alimenté ailleurs,Pas de formule dans ce composant (valeur vraisemblablement injectée depuis un autre service/dossier),Required sauf si client Prospect (isProspect)
9,Type de commission CCG,ccgCommissionChargeType,isFogarim || isFogaloge (étape entière conditionnelle),Non disabled,Manuel (select),-,Required. Utilisé comme input du calcul CCG (monthlyCoefficient)
9,Superficie,area,isFogarim || isFogaloge,Non disabled,Manuel,-,Required. Déclenche calculateSocialHousing() et fait partie des inputs du calcul CCG
9,Logement social (checkbox),socialHousing,isFogarim || isFogaloge,Toujours disabled (control créé disabled:true),Calculé,"TRUE si 50 <= area <= 80, sinon FALSE. Si area vide/0: reset de monthlyCoefficient",calculateSocialHousing()
9,Coefficient mensuel CCG,monthlyCoefficient,isFogarim || isFogaloge,Toujours disabled (control créé disabled:true),Calculé (appel API),"Appel service dossierDataService.calculateCCGCommission({loanAmount, investmentAmount, loanRate=rate, duration=deadlineNumber, isSocialHousing=socialHousing, codeProduct, ccgCommissionChargeType, areaHousing=area}) → résultat ccgCommission",calculateMonthlyCoefficient(). Déclenché uniquement si tous les champs requis sont valides (isAllFieldsValid)
